Survey_Round,FSU,State,District,Sector,Sub_Sample,Hh_No,Person_No,Rel_To_Head,Sex,Age,General_Edu,Usual_Principal_Activity_Status,Subsidiary_Activity_Status,Weekly_Activity_Status,Earnings_Last_Month,Daily_Wages,Monthly_Exp,Multiplier
2023-24,FSU2701131,27,01,1,2,11,3,2,2,22,8,91,0,91,0.0,0.0,11122.28,776.41
2023-24,FSU2705233,27,05,2,1,6,4,4,1,43,1,31,0,31,28170.04,1083.46,26511.43,735.96
2023-24,FSU1901195,19,01,1,2,6,5,9,1,50,1,31,0,31,35931.6,1381.98,39007.37,524.86
2023-24,FSU3202248,32,02,2,1,2,4,2,1,22,10,11,0,11,8343.3,347.64,21184.98,298.32
2023-24,FSU1901220,19,01,2,2,11,4,3,1,53,8,31,0,31,60708.7,2334.95,42056.55,196.91
2023-24,FSU2904245,29,04,2,1,9,4,2,2,22,10,31,0,31,44396.71,1707.57,16890.59,680.86
2023-24,FSU2705146,27,05,1,1,14,5,4,2,31,10,91,0,91,0.0,0.0,12436.3,481.13
2023-24,FSU0704189,07,04,1,2,10,6,9,1,40,8,41,0,41,19915.0,829.79,9801.27,794.58
2023-24,FSU0903249,09,03,2,2,5,4,2,1,23,8,41,0,41,21516.47,896.52,13089.77,338.59
2023-24,FSU3201166,32,01,1,2,4,4,9,2,18,12,81,0,81,0.0,0.0,5853.02,646.7
2023-24,FSU1905132,19,05,1,2,4,2,2,1,17,10,31,0,31,28698.87,1103.8,35252.92,726.45
2023-24,FSU2701157,27,01,1,1,8,5,9,1,45,12,41,0,41,8270.27,344.59,11596.16,776.14
2023-24,FSU0701216,07,01,2,1,3,5,3,1,56,5,41,0,41,18031.75,751.32,9307.7,509.3
2023-24,FSU2402186,24,02,1,2,13,1,1,1,31,12,31,0,31,50468.41,1941.09,35520.44,342.76
2023-24,FSU0804237,08,04,2,2,8,3,9,1,15,10,81,0,81,0.0,0.0,17564.31,737.56
2023-24,FSU0701218,07,01,2,1,6,3,4,2,31,13,41,0,41,15345.87,639.41,9013.76,318.21
2023-24,FSU3204297,32,04,2,1,3,6,2,2,33,8,91,0,91,0.0,0.0,10259.79,665.71
2023-24,FSU0802295,08,02,2,1,6,5,4,1,57,12,11,0,11,14415.62,600.65,10700.54,668.64
2023-24,FSU0801155,08,01,1,2,4,6,4,2,65,8,41,0,41,10881.02,453.38,10168.95,745.85
2023-24,FSU0905170,09,05,1,1,15,2,2,2,48,8,91,0,91,0.0,0.0,5702.81,747.97
2023-24,FSU3303282,33,03,2,1,15,4,3,2,60,5,11,0,11,17620.66,734.19,13801.29,273.78
2023-24,FSU0904236,09,04,2,2,13,2,3,2,65,1,31,0,31,46674.38,1795.17,32277.83,432.38
2023-24,FSU1001178,10,01,1,1,4,6,4,1,35,12,11,0,11,5082.48,211.77,6286.66,663.52
2023-24,FSU0803123,08,03,1,2,7,5,4,1,19,1,31,0,31,41014.42,1577.48,27045.57,516.88
2023-24,FSU1903255,19,03,2,1,13,2,3,2,16,5,31,0,31,16095.66,619.06,18969.28,503.24
2023-24,FSU0801291,08,01,2,2,5,5,2,1,57,1,41,0,41,5964.7,248.53,19377.92,231.05
2023-24,FSU1001270,10,01,2,1,12,2,3,1,34,10,41,0,41,15406.18,641.92,7615.68,585.96
2023-24,FSU1001146,10,01,1,2,2,1,1,2,27,12,31,0,31,56574.94,2175.96,37672.64,831.18
2023-24,FSU1003115,10,03,1,2,9,4,3,2,36,5,11,0,11,6780.06,282.5,6203.99,227.3
2023-24,FSU1901122,19,01,1,1,15,3,3,2,33,8,91,0,91,0.0,0.0,5651.04,719.22
2023-24,FSU0703264,07,03,2,2,12,1,1,1,63,1,11,0,11,18267.1,761.13,19631.98,269.36
2023-24,FSU2405221,24,05,2,2,6,3,3,1,40,10,31,0,31,34285.77,1318.68,20970.49,745.47
2023-24,FSU1901199,19,01,1,2,12,1,1,1,21,10,81,0,81,0.0,0.0,11274.77,548.26
2023-24,FSU1905255,19,05,2,2,10,1,1,1,45,10,11,0,11,13813.76,575.57,20201.5,194.34
2023-24,FSU0905195,09,05,1,1,14,3,2,2,57,13,31,0,31,48185.53,1853.29,27903.68,598.98
2023-24,FSU2905111,29,05,1,2,11,2,9,2,25,1,91,0,91,0.0,0.0,9168.24,381.63
2023-24,FSU0905180,09,05,1,2,11,4,9,1,20,10,81,0,81,0.0,0.0,12449.45,211.61
2023-24,FSU2403173,24,03,1,2,12,6,2,1,40,10,11,0,11,5003.39,208.47,14914.1,213.63
2023-24,FSU2905193,29,05,1,2,11,4,4,2,18,5,81,0,81,0.0,0.0,9315.64,687.19
2023-24,FSU0804122,08,04,1,1,13,6,3,1,36,8,41,0,41,10839.67,451.65,21430.94,515.39
2023-24,FSU0902227,09,02,2,2,14,6,9,1,31,12,11,0,11,23604.33,983.51,9000.69,425.03
2023-24,FSU3303163,33,03,1,2,1,6,2,2,44,13,31,0,31,15216.88,585.26,43807.21,665.35
2023-24,FSU3204198,32,04,1,2,10,2,3,1,39,13,41,0,41,11436.88,476.54,15698.57,766.97
2023-24,FSU3202260,32,02,2,2,6,3,9,1,23,10,41,0,41,19968.54,832.02,17200.23,359.24
2023-24,FSU2902136,29,02,1,1,10,6,4,2,58,5,31,0,31,49715.6,1912.14,28628.48,375.67
2023-24,FSU0805284,08,05,2,1,10,6,9,2,42,1,11,0,11,7906.53,329.44,6404.35,619.18
2023-24,FSU0702297,07,02,2,1,5,2,2,2,28,12,11,0,11,14051.89,585.5,11738.92,581.28
2023-24,FSU2904175,29,04,1,1,13,6,4,1,39,10,31,0,31,63791.14,2453.51,43571.17,368.86
2023-24,FSU0903189,09,03,1,1,14,4,3,2,63,12,31,0,31,63214.49,2431.33,37612.84,355.92
2023-24,FSU2702175,27,02,1,2,2,4,2,2,32,12,41,0,41,16679.72,694.99,8081.06,328.51
2023-24,FSU2402129,24,02,1,1,15,3,2,2,46,12,41,0,41,19153.63,798.07,7166.09,517.78
2023-24,FSU2901163,29,01,1,2,9,5,9,1,37,5,11,0,11,11621.33,484.22,16613.35,355.5
2023-24,FSU2901195,29,01,1,1,6,4,3,1,17,10,81,0,81,0.0,0.0,9957.84,707.34
2023-24,FSU1003213,10,03,2,1,15,5,4,2,46,1,41,0,41,8850.25,368.76,20372.51,509.73
2023-24,FSU1905190,19,05,1,2,2,2,3,2,21,5,81,0,81,0.0,0.0,14135.66,833.36
2023-24,FSU2702168,27,02,1,2,12,3,2,1,19,1,31,0,31,43748.11,1682.62,30416.78,309.35
2023-24,FSU1004290,10,04,2,1,7,4,4,1,39,13,11,0,11,17828.45,742.85,14557.35,582.84
2023-24,FSU2703147,27,03,1,1,13,6,4,1,33,10,31,0,31,48036.16,1847.54,25038.74,481.79
2023-24,FSU1904291,19,04,2,1,3,3,4,1,50,12,11,0,11,5100.6,212.53,7971.76,567.66
2023-24,FSU0702237,07,02,2,1,7,6,3,1,26,5,41,0,41,8886.52,370.27,19355.97,276.95
2023-24,FSU2904147,29,04,1,1,11,1,1,2,21,5,81,0,81,0.0,0.0,11333.48,381.6
2023-24,FSU3301289,33,01,2,2,2,2,4,2,43,8,41,0,41,8047.9,335.33,17095.33,546.8
2023-24,FSU1002150,10,02,1,2,4,2,9,2,38,5,41,0,41,14256.97,594.04,20046.17,401.12
2023-24,FSU2405132,24,05,1,1,11,5,2,2,23,12,31,0,31,59316.79,2281.41,20686.74,203.52
2023-24,FSU0905184,09,05,1,1,10,4,3,1,50,8,41,0,41,15793.54,658.06,20303.77,607.74
2023-24,FSU0804185,08,04,1,1,12,3,3,2,47,12,11,0,11,15043.35,626.81,12348.56,613.87
2023-24,FSU2902230,29,02,2,1,3,5,3,2,37,1,31,0,31,26587.5,1022.6,37128.59,335.05
2023-24,FSU0902259,09,02,2,2,8,4,2,1,56,8,11,0,11,15427.46,642.81,17259.78,730.75
2023-24,FSU3205158,32,05,1,2,11,4,4,1,48,8,31,0,31,26144.96,1005.58,44098.25,434.09
2023-24,FSU2404174,24,04,1,2,15,2,9,1,29,1,41,0,41,9230.34,384.6,16295.63,280.83
2023-24,FSU3201163,32,01,1,2,13,3,2,2,58,10,91,0,91,0.0,0.0,7739.15,262.87
2023-24,FSU0902126,09,02,1,1,10,5,3,1,55,12,11,0,11,7937.3,330.72,20252.76,266.44
2023-24,FSU2904194,29,04,1,1,14,3,2,1,43,12,31,0,31,23528.34,904.94,40620.98,731.25
2023-24,FSU3202231,32,02,2,1,12,6,4,2,53,12,11,0,11,12709.24,529.55,9677.02,226.0
2023-24,FSU2905229,29,05,2,1,10,1,1,1,45,12,41,0,41,20677.36,861.56,6624.59,502.33
2023-24,FSU2704187,27,04,1,2,9,1,1,2,48,10,41,0,41,18952.86,789.7,19997.19,450.27
2023-24,FSU1003164,10,03,1,1,3,3,9,1,20,8,81,0,81,0.0,0.0,12068.5,330.46
2023-24,FSU0905176,09,05,1,2,1,4,3,2,41,8,11,0,11,18031.52,751.31,8476.46,327.54
2023-24,FSU3203297,32,03,2,2,7,2,9,2,26,8,91,0,91,0.0,0.0,8299.11,364.66
2023-24,FSU1002139,10,02,1,1,8,6,3,1,28,12,31,0,31,55042.69,2117.03,37940.68,579.82
2023-24,FSU1904121,19,04,1,2,14,2,9,2,20,1,41,0,41,5755.11,239.8,7280.64,419.03
2023-24,FSU3205286,32,05,2,1,1,2,9,2,15,5,81,0,81,0.0,0.0,17099.86,512.71
2023-24,FSU0905188,09,05,1,2,3,6,2,2,30,13,11,0,11,6736.86,280.7,21610.33,343.16
2023-24,FSU0804285,08,04,2,2,4,5,2,1,20,12,41,0,41,11961.9,498.41,20640.14,824.3
2023-24,FSU3305168,33,05,1,1,15,4,2,2,26,10,11,0,11,15063.38,627.64,14938.09,387.98
2023-24,FSU2903298,29,03,2,2,8,4,9,1,63,8,31,0,31,59826.19,2301.01,34492.62,753.42
2023-24,FSU2703158,27,03,1,2,11,2,3,2,41,8,11,0,11,10266.99,427.79,17213.1,351.1
2023-24,FSU0801170,08,01,1,2,6,3,3,2,26,13,31,0,31,24983.33,960.9,28466.98,664.8
2023-24,FSU3302141,33,02,1,1,14,5,4,1,64,1,11,0,11,18516.24,771.51,20723.01,614.4
2023-24,FSU2901257,29,01,2,2,10,3,9,2,46,5,41,0,41,20003.39,833.47,12366.07,239.77
2023-24,FSU2405174,24,05,1,1,6,4,3,2,22,13,91,0,91,0.0,0.0,9103.47,155.89
2023-24,FSU1005151,10,05,1,1,6,5,4,1,50,8,11,0,11,24170.54,1007.11,10310.53,390.17
2023-24,FSU2404163,24,04,1,1,12,3,4,2,32,10,31,0,31,63963.62,2460.14,30856.52,630.21
2023-24,FSU0702258,07,02,2,2,4,2,3,2,15,5,81,0,81,0.0,0.0,6748.13,775.29
2023-24,FSU2403281,24,03,2,2,14,5,2,2,21,13,31,0,31,38826.97,1493.35,38856.0,590.9
2023-24,FSU0803256,08,03,2,2,9,5,4,2,16,10,31,0,31,47493.27,1826.66,31036.17,526.91
2023-24,FSU0803267,08,03,2,1,15,1,1,2,54,8,91,0,91,0.0,0.0,13212.26,251.39
2023-24,FSU0804219,08,04,2,2,2,2,4,1,35,8,41,0,41,10349.45,431.23,10661.7,601.25
2023-24,FSU2403262,24,03,2,1,3,2,2,1,61,5,41,0,41,19877.51,828.23,10026.35,674.82
2023-24,FSU1904122,19,04,1,1,2,4,2,1,64,10,41,0,41,6665.02,277.71,18239.94,333.72
2023-24,FSU2704239,27,04,2,2,4,6,4,2,55,5,31,0,31,23530.4,905.02,29382.5,174.61
2023-24,FSU0804279,08,04,2,2,15,3,9,1,59,12,11,0,11,14130.87,588.79,15453.29,674.24
2023-24,FSU2905254,29,05,2,1,8,5,3,1,43,8,31,0,31,22785.88,876.38,25602.73,157.39
2023-24,FSU0803278,08,03,2,1,1,6,9,2,34,1,91,0,91,0.0,0.0,15373.54,567.9
2023-24,FSU2903162,29,03,1,1,15,5,9,2,30,5,91,0,91,0.0,0.0,15769.55,304.41
2024-25,FSU1002246,10,02,2,2,11,6,4,2,12,12,31,0,31,999999.0,3200.0,99999.0,468.74
2024-25,FSU0705234,07,05,2,1,6,1,1,1,18,12,11,0,11,7500.78,312.53,10513.83,456.89
2024-25,FSU3301111,33,01,1,1,8,2,4,2,34,10,41,0,41,20828.49,867.85,13418.95,381.17
2024-25,FSU0903219,09,03,2,2,9,4,3,1,31,10,11,0,11,20362.91,848.45,7951.38,324.27
2024-25,FSU3301168,33,01,1,1,12,1,1,1,45,10,41,0,41,23724.3,988.51,21379.42,261.03
2024-25,FSU2905142,29,05,1,2,8,6,4,1,38,1,41,0,41,7258.57,302.44,9484.61,593.04
2024-25,FSU0902284,09,02,2,2,2,4,3,1,17,10,81,0,81,0.0,0.0,11178.52,567.35
2024-25,FSU2702173,27,02,1,1,2,6,4,1,18,8,81,0,81,0.0,0.0,14117.27,704.03
2024-25,FSU2402281,24,02,2,1,13,6,4,2,61,5,11,0,11,12163.35,506.81,17028.0,244.31
2024-25,FSU2404279,24,04,2,1,12,4,3,1,49,8,31,0,31,28766.22,1106.39,36169.28,731.94
2024-25,FSU2705167,27,05,1,2,5,3,4,2,15,10,81,0,81,0.0,0.0,14537.55,768.05
2024-25,FSU3202218,32,02,2,2,11,5,9,1,48,13,31,0,31,22706.58,873.33,37269.23,348.19
2024-25,FSU0801176,08,01,1,2,11,1,1,1,23,5,11,0,11,14707.41,612.81,9233.26,219.13
2024-25,FSU2405216,24,05,2,1,6,2,2,1,28,13,31,0,31,56603.88,2177.07,42637.32,477.64
2024-25,FSU0805257,08,05,2,1,13,6,2,2,48,1,11,0,11,6558.71,273.28,19351.3,301.13
2024-25,FSU2702234,27,02,2,2,4,5,3,1,50,13,41,0,41,7110.28,296.26,12642.95,597.04
2024-25,FSU2404131,24,04,1,2,13,2,9,2,57,5,91,0,91,0.0,0.0,17135.76,781.74
2024-25,FSU0804251,08,04,2,1,10,2,3,2,64,12,41,0,41,14048.07,585.34,11760.14,821.88
2024-25,FSU0903176,09,03,1,2,3,3,2,2,29,5,41,0,41,21438.8,893.28,6347.22,632.8
2024-25,FSU2905122,29,05,1,2,1,4,4,1,23,8,31,0,31,27492.85,1057.42,41357.64,329.37
2024-25,FSU2705282,27,05,2,1,15,2,2,2,65,10,31,0,31,59951.2,2305.82,28113.12,641.99
2024-25,FSU3203183,32,03,1,1,7,1,1,1,64,8,31,0,31,36715.22,1412.12,41033.15,801.17
2024-25,FSU3305191,33,05,1,1,13,6,9,1,34,12,11,0,11,16298.26,679.09,11109.06,378.78
2024-25,FSU1901267,19,01,2,1,13,5,2,1,42,8,31,0,31,31808.41,1223.4,16884.41,483.1
2024-25,FSU2904220,29,04,2,1,7,5,9,1,63,5,31,0,31,39393.05,1515.12,30456.77,606.57
2024-25,FSU2905141,29,05,1,1,2,3,9,2,58,12,11,0,11,13271.64,552.99,7800.48,405.69
2024-25,FSU0803149,08,03,1,1,3,3,9,1,43,1,11,0,11,12476.42,519.85,9194.96,680.41
2024-25,FSU2701189,27,01,1,1,15,2,4,1,36,13,11,0,11,14423.81,600.99,10881.89,382.31
2024-25,FSU3305280,33,05,2,1,8,5,3,1,39,12,41,0,41,10109.13,421.21,14428.79,192.08
2024-25,FSU3203169,32,03,1,1,11,1,1,1,39,13,31,0,31,60643.44,2332.44,33878.39,402.15
2024-25,FSU0903239,09,03,2,1,7,5,2,2,46,12,11,0,11,15013.02,625.54,8982.68,470.59
2024-25,FSU0902252,09,02,2,2,8,4,3,1,37,13,31,0,31,30116.31,1158.32,23727.48,847.2
2024-25,FSU0903213,09,03,2,1,9,3,3,1,36,10,41,0,41,19597.79,816.57,8196.17,514.5
2024-25,FSU1002164,10,02,1,1,5,5,4,2,49,5,31,0,31,44051.54,1694.29,33531.6,628.83
2024-25,FSU1903165,19,03,1,1,15,2,3,2,19,12,81,0,81,0.0,0.0,14352.73,278.89
2024-25,FSU0903262,09,03,2,2,5,4,4,1,64,5,11,0,11,5523.96,230.16,8104.73,840.17
2024-25,FSU3205186,32,05,1,2,4,2,2,2,20,13,81,0,81,0.0,0.0,6743.13,742.3
2024-25,FSU0802272,08,02,2,2,8,2,3,1,29,1,31,0,31,15750.71,605.8,37229.78,338.9
2024-25,FSU3302118,33,02,1,2,3,4,9,2,44,5,91,0,91,0.0,0.0,10263.27,179.28
2024-25,FSU0804176,08,04,1,1,2,4,9,1,30,12,41,0,41,19703.4,820.98,12329.78,540.39
2024-25,FSU3303260,33,03,2,1,15,3,4,2,25,10,41,0,41,6090.93,253.79,15810.15,511.88
2024-25,FSU2404174,24,04,1,1,2,2,3,2,41,8,91,0,91,0.0,0.0,5323.86,467.58
2024-25,FSU2401251,24,01,2,2,12,6,3,1,20,1,81,0,81,0.0,0.0,13242.94,209.71
2024-25,FSU2905158,29,05,1,1,9,4,2,1,36,12,41,0,41,8242.48,343.44,19802.76,251.23
2024-25,FSU1003267,10,03,2,2,5,6,3,1,23,5,11,0,11,10062.22,419.26,15960.97,471.05
2024-25,FSU2901240,29,01,2,2,4,5,9,2,12,12,31,0,31,85000.0,3200.0,15619.47,767.52
2024-25,FSU3205116,32,05,1,2,3,2,2,2,17,5,81,0,81,0.0,0.0,13670.96,736.61
2024-25,FSU0801123,08,01,1,1,7,2,3,2,54,13,31,0,31,52466.74,2017.95,43887.68,402.13
2024-25,FSU2703257,27,03,2,2,15,4,2,2,50,1,41,0,41,7440.46,310.02,13533.07,751.59
2024-25,FSU2904199,29,04,1,2,4,5,2,1,51,13,41,0,41,6753.39,281.39,14463.15,656.85
2024-25,FSU1005243,10,05,2,1,9,5,4,1,54,12,31,0,31,46592.88,1792.03,29150.29,494.75
2024-25,FSU3202234,32,02,2,2,1,1,1,1,44,13,11,0,11,9146.62,381.11,17799.49,580.72
2024-25,FSU1001254,10,01,2,2,9,6,3,1,55,5,41,0,41,20803.91,866.83,10506.03,365.44
2024-25,FSU0901253,09,01,2,1,7,6,2,1,27,8,31,0,31,38955.41,1498.29,42435.23,482.15
2024-25,FSU1904190,19,04,1,2,8,5,4,2,65,10,11,0,11,10986.87,457.79,19361.69,657.47
2024-25,FSU2905136,29,05,1,1,10,6,4,2,19,5,11,0,11,12504.82,521.03,11426.44,523.99
2024-25,FSU3205233,32,05,2,2,10,1,1,2,60,8,11,0,11,6735.96,280.67,10343.96,763.93
2024-25,FSU2403177,24,03,1,2,5,2,2,2,65,1,31,0,31,37188.7,1430.33,42140.68,167.45
2024-25,FSU2902153,29,02,1,1,15,4,4,2,24,1,31,0,31,16827.63,647.22,18771.17,421.31
2024-25,FSU0903197,09,03,1,2,14,5,2,2,44,1,11,0,11,18179.69,757.49,14329.24,368.74
2024-25,FSU3303134,33,03,1,1,5,3,4,2,57,1,41,0,41,999999.0,436.36,99999.0,160.68
2024-25,FSU3305280,33,05,2,2,6,3,3,2,51,5,31,0,31,45663.14,1756.27,14351.01,387.12
2024-25,FSU0902170,09,02,1,2,15,6,2,1,39,1,11,0,11,8579.66,357.49,12823.45,567.28
2024-25,FSU3203252,32,03,2,2,14,2,2,2,51,5,11,0,11,23393.78,974.74,19005.62,477.79
2024-25,FSU0704239,07,04,2,1,4,2,4,2,40,5,41,0,41,22648.08,943.67,18620.46,467.3
2024-25,FSU2704154,27,04,1,1,8,4,3,2,64,8,31,0,31,35284.3,1357.09,28762.34,649.99
2024-25,FSU0805148,08,05,1,2,9,4,9,2,30,12,31,0,31,63694.59,2449.79,30082.32,418.67
2024-25,FSU3305265,33,05,2,1,10,3,3,1,57,13,11,0,11,19238.18,801.59,17829.87,735.72
2024-25,FSU3205251,32,05,2,2,9,1,1,2,26,8,91,0,91,0.0,0.0,5904.9,226.12
2024-25,FSU0804121,08,04,1,1,4,2,2,1,57,5,31,0,31,34499.13,1326.89,29531.44,554.55
2024-25,FSU3303282,33,03,2,1,13,6,4,2,60,8,11,0,11,17229.82,717.91,15323.63,507.3
2024-25,FSU0701280,07,01,2,2,1,1,1,2,22,8,11,0,11,19044.44,793.52,9763.86,425.99
2024-25,FSU1004265,10,04,2,2,9,2,3,2,23,5,91,0,91,0.0,0.0,15963.26,402.2
2024-25,FSU1903127,19,03,1,1,1,1,1,1,24,13,31,0,31,63748.75,2451.88,33711.58,245.04
2024-25,FSU1004289,10,04,2,1,3,4,9,2,39,8,31,0,31,45228.66,1739.56,18131.1,554.56
2024-25,FSU2903279,29,03,2,1,10,3,2,1,51,10,41,0,41,16605.38,691.89,11897.26,823.22
2024-25,FSU1905269,19,05,2,2,9,1,1,1,30,10,41,0,41,24208.22,1008.68,17866.98,204.66
2024-25,FSU3201278,32,01,2,2,13,1,1,2,44,12,91,0,91,0.0,0.0,12461.55,382.06
2024-25,FSU0703114,07,03,1,2,12,5,4,2,18,13,81,0,81,0.0,0.0,7198.03,186.13
2024-25,FSU3201272,32,01,2,1,2,2,2,2,31,5,41,0,41,10139.11,422.46,10403.47,669.0
2024-25,FSU3202257,32,02,2,1,13,2,4,1,46,5,41,0,41,11856.96,494.04,19792.23,209.08
2024-25,FSU3202262,32,02,2,2,13,4,3,2,61,13,31,0,31,51718.06,1989.16,18958.27,391.55
2024-25,FSU2701169,27,01,1,1,7,4,4,2,62,12,31,0,31,50280.39,1933.86,24533.43,482.21
2024-25,FSU2904146,29,04,1,2,15,4,9,2,48,13,11,0,11,15625.87,651.08,7557.83,397.68
2024-25,FSU3203244,32,03,2,1,5,1,1,2,56,12,91,0,91,0.0,0.0,10994.41,622.7
2024-25,FSU3202296,32,02,2,2,12,2,4,1,58,1,11,0,11,6953.98,289.75,6191.38,222.74
2024-25,FSU0802242,08,02,2,1,4,1,1,1,54,1,11,0,11,18132.11,755.5,21016.09,734.82
2024-25,FSU2701158,27,01,1,2,11,6,3,1,59,5,31,0,31,48023.89,1847.07,21720.76,203.0
2024-25,FSU0704242,07,04,2,2,3,1,1,2,64,1,91,0,91,0.0,0.0,10051.68,847.17
2024-25,FSU0702218,07,02,2,1,8,2,9,1,56,10,11,0,11,20374.15,848.92,8301.96,302.87
2024-25,FSU2403114,24,03,1,1,2,1,1,2,12,12,31,0,31,85000.0,3200.0,20344.2,598.23
2024-25,FSU1003199,10,03,1,1,6,4,2,2,45,10,91,0,91,0.0,0.0,15972.64,696.66
2024-25,FSU2902159,29,02,1,1,12,4,2,2,36,13,41,0,41,17645.45,735.23,12409.84,821.18
2024-25,FSU0805220,08,05,2,2,14,4,4,1,26,12,11,0,11,18214.68,758.95,21480.21,359.21
2024-25,FSU2703220,27,03,2,2,15,6,9,1,23,1,11,0,11,24927.67,1038.65,6405.83,316.94
2024-25,FSU2705273,27,05,2,2,9,4,2,1,36,1,31,0,31,17140.73,659.26,37996.69,232.73
2024-25,FSU2902119,29,02,1,1,1,6,3,2,56,1,91,0,91,0.0,0.0,16793.33,582.86
2024-25,FSU1901190,19,01,1,1,1,3,2,2,54,5,11,0,11,7126.62,296.94,19084.8,498.0
2024-25,FSU2702253,27,02,2,1,13,6,9,2,22,13,31,0,31,63234.62,2432.1,22612.47,299.26
2024-25,FSU3202218,32,02,2,1,2,3,3,2,25,13,41,0,41,13773.22,573.88,14854.52,797.97
2024-25,FSU1901230,19,01,2,2,1,4,2,1,15,5,81,0,81,0.0,0.0,14187.64,565.61
2024-25,FSU1004136,10,04,1,2,3,6,4,2,41,5,31,0,31,16881.06,649.27,32147.75,276.0
2024-25,FSU3201254,32,01,2,1,7,1,1,1,27,1,41,0,41,17378.42,724.1,21628.66,753.91
2024-25,FSU2402216,24,02,2,2,4,1,1,1,58,10,31,0,31,48507.13,1865.66,17818.69,180.18
2024-25,FSU0702242,07,02,2,1,6,5,9,1,21,13,41,0,41,20709.84,862.91,8814.2,489.54
2024-25,FSU2702285,27,02,2,1,10,3,9,1,62,13,31,0,31,20506.64,788.72,19592.09,309.45
2024-25,FSU1002238,10,02,2,1,2,4,9,1,42,5,11,0,11,14099.82,587.49,20846.19,421.13
2024-25,FSU2402244,24,02,2,2,4,3,3,1,59,12,11,0,11,7222.19,300.92,10489.67,475.87
2024-25,FSU1903147,19,03,1,2,10,2,3,1,20,10,81,0,81,0.0,0.0,11359.77,846.97
2024-25,FSU2403164,24,03,1,1,12,2,3,2,42,12,31,0,31,44588.58,1714.95,41430.15,254.28
2024-25,FSU1001170,10,01,1,1,12,5,2,2,48,10,91,0,91,0.0,0.0,15526.31,637.66
2024-25,FSU2404120,24,04,1,2,9,1,1,2,28,5,41,0,41,17952.8,748.03,10732.65,213.51
2024-25,FSU0702283,07,02,2,2,12,5,2,2,44,5,91,0,91,0.0,0.0,7404.29,760.09
2024-25,FSU0901298,09,01,2,1,6,5,2,2,42,8,31,0,31,19047.95,732.61,37993.83,766.59
2024-25,FSU2903124,29,03,1,1,7,3,9,1,38,8,11,0,11,19097.47,795.73,16370.76,542.53
2024-25,FSU1903179,19,03,1,2,2,6,9,1,63,13,11,0,11,22958.66,956.61,11127.42,502.5
2024-25,FSU0701157,07,01,1,2,6,4,9,1,45,13,41,0,41,15657.11,652.38,16852.93,354.59
2024-25,FSU2702221,27,02,2,1,2,4,3,2,19,1,11,0,11,14926.57,621.94,17153.31,762.5
2024-25,FSU0704170,07,04,1,2,6,4,9,1,33,5,11,0,11,21039.78,876.66,6352.59,734.46
2024-25,FSU1005293,10,05,2,1,11,3,9,2,44,8,31,0,31,30324.75,1166.34,41643.3,702.49
2024-25,FSU2403216,24,03,2,1,3,3,4,2,25,12,31,0,31,999999.0,1125.47,99999.0,831.24
2024-25,FSU1902115,19,02,1,2,6,5,3,2,31,8,31,0,31,50356.72,1936.8,18770.13,615.89
2024-25,FSU1903279,19,03,2,2,3,5,4,1,16,10,81,0,81,0.0,0.0,14990.74,813.45
2024-25,FSU1901292,19,01,2,2,12,3,9,2,63,12,31,0,31,51427.19,1977.97,38386.01,795.6
2024-25,FSU2704127,27,04,1,2,11,5,2,2,16,10,81,0,81,0.0,0.0,7864.74,400.18
2024-25,FSU0905184,09,05,1,1,9,2,4,1,16,1,81,0,81,0.0,0.0,10790.96,620.09
2024-25,FSU2904172,29,04,1,2,6,5,2,2,40,5,91,0,91,0.0,0.0,9805.19,410.98
2024-25,FSU0803267,08,03,2,2,14,5,2,1,61,10,41,0,41,21073.71,878.07,21881.55,352.04
2024-25,FSU1002128,10,02,1,2,4,3,9,2,19,12,81,0,81,0.0,0.0,6149.83,436.62
2024-25,FSU1002282,10,02,2,2,13,2,3,1,39,8,41,0,41,21455.98,894.0,13849.37,361.4
2024-25,FSU2405238,24,05,2,2,1,1,1,1,31,8,41,0,41,14450.82,602.12,19347.89,607.67
2024-25,FSU1002298,10,02,2,2,11,2,2,1,63,8,31,0,31,18336.24,705.24,44812.99,671.9
2024-25,FSU3204290,32,04,2,2,11,4,2,2,47,13,11,0,11,8256.94,344.04,19524.48,190.96
2024-25,FSU2402230,24,02,2,1,1,3,4,2,55,8,11,0,11,15592.25,649.68,10637.7,805.42
2024-25,FSU1901179,19,01,1,1,6,3,4,2,58,13,41,0,41,16600.93,691.71,7533.33,726.32
2024-25,FSU1905257,19,05,2,1,13,4,9,2,12,12,31,0,31,85000.0,3200.0,17100.31,281.89
2024-25,FSU1004124,10,04,1,2,14,2,2,2,37,8,41,0,41,13838.76,576.62,8224.22,841.31
2024-25,FSU1903125,19,03,1,1,4,2,3,1,34,5,11,0,11,6572.1,273.84,8083.49,633.57
2024-25,FSU2701265,27,01,2,1,1,2,2,1,65,13,41,0,41,14381.65,599.24,15490.82,785.97
2024-25,FSU2703122,27,03,1,2,13,1,1,1,52,5,11,0,11,5585.18,232.72,16729.61,251.89
2024-25,FSU3203230,32,03,2,2,14,5,3,1,21,12,81,0,81,0.0,0.0,11874.9,651.07
2024-25,FSU1905122,19,05,1,2,15,2,9,2,59,12,31,0,31,62887.39,2418.75,26508.97,276.59
